,AL,Random,Batch
0,0.9583333333333334,0.9583333333333334,0.9583333333333334
1,0.9166666666666666,0.9583333333333334,0.9166666666666666
2,0.9444444444444444,0.9583333333333334,0.9444444444444444
3,0.9444444444444444,0.9722222222222222,0.9583333333333334
4,0.9305555555555556,0.9305555555555556,0.9305555555555556
5,0.9444444444444444,0.9583333333333334,0.9444444444444444
6,0.9722222222222222,0.9583333333333334,0.9722222222222222
7,0.9722222222222222,0.9722222222222222,0.9861111111111112
8,0.9861111111111112,0.9861111111111112,0.9861111111111112
9,0.9444444444444444,0.9722222222222222,0.9444444444444444
10,0.9305555555555556,0.9722222222222222,0.9305555555555556
11,0.9305555555555556,0.8888888888888888,0.9444444444444444
12,0.9583333333333334,0.9305555555555556,0.9583333333333334
13,0.9583333333333334,0.9166666666666666,0.9583333333333334
14,0.9861111111111112,0.9583333333333334,0.9861111111111112
