,AL,Random,Batch
0,0.7441860465116279,0.7131782945736435,0.7829457364341085
1,0.7286821705426356,0.7906976744186046,0.875968992248062
2,0.8217054263565892,0.6976744186046512,0.7829457364341085
3,0.7364341085271318,0.7984496124031008,0.7751937984496124
4,0.8217054263565892,0.7674418604651163,0.8372093023255814
5,0.813953488372093,0.7674418604651163,0.8372093023255814
6,0.6744186046511628,0.6589147286821705,0.8217054263565892
7,0.813953488372093,0.7674418604651163,0.7906976744186046
8,0.8217054263565892,0.7906976744186046,0.7829457364341085
9,0.7364341085271318,0.7441860465116279,0.7751937984496124
10,0.7596899224806202,0.7131782945736435,0.8682170542635659
11,0.8217054263565892,0.6589147286821705,0.7751937984496124
12,0.7906976744186046,0.7286821705426356,0.8062015503875969
13,0.7054263565891473,0.6046511627906976,0.8372093023255814
14,0.7984496124031008,0.751937984496124,0.813953488372093
