,AL,Random,Batch
0,0.9368421052631579,0.7719298245614035,0.9473684210526315
1,0.9014084507042254,0.9577464788732394,0.954225352112676
2,0.9228070175438596,0.8912280701754386,0.9614035087719298
3,0.9225352112676056,0.9190140845070423,0.9436619718309859
4,0.8912280701754386,0.8807017543859649,0.9473684210526315
5,0.954225352112676,0.9295774647887324,0.9507042253521126
6,0.9157894736842105,0.8701754385964913,0.9719298245614035
7,0.9084507042253521,0.9049295774647887,0.9436619718309859
8,0.9473684210526315,0.9192982456140351,0.9543859649122807
9,0.9190140845070423,0.9330985915492958,0.9612676056338029
