,AL,Random,Batch
0,0.5689655172413793,0.6724137931034483,0.7068965517241379
1,0.41379310344827586,0.5344827586206896,0.6896551724137931
2,0.5862068965517241,0.7241379310344828,0.6896551724137931
3,0.5517241379310345,0.6724137931034483,0.6896551724137931
4,0.4827586206896552,0.7241379310344828,0.6896551724137931
5,0.4827586206896552,0.6724137931034483,0.7413793103448276
6,0.5172413793103449,0.7068965517241379,0.6551724137931034
7,0.4827586206896552,0.7241379310344828,0.7068965517241379
8,0.41379310344827586,0.5,0.7413793103448276
9,0.5517241379310345,0.7068965517241379,0.5862068965517241
