,AL,Random,Batch
0,0.8777777777777778,0.85,0.9555555555555556
1,0.7584269662921348,0.8258426966292135,0.9550561797752809
2,0.8277777777777777,0.8722222222222222,0.9444444444444444
3,0.898876404494382,0.898876404494382,0.9606741573033708
4,0.8722222222222222,0.6666666666666666,0.9833333333333333
5,0.8764044943820225,0.9101123595505618,0.949438202247191
6,0.9055555555555556,0.8388888888888889,0.9611111111111111
7,0.898876404494382,0.8146067415730337,0.9438202247191011
8,0.9166666666666666,0.8944444444444445,0.9611111111111111
9,0.8202247191011236,0.9101123595505618,0.9719101123595506
