,AL,Random,Batch
0,0.8945686900958466,0.7827476038338658,0.8945686900958466
1,0.8397435897435898,0.8846153846153846,0.8782051282051282
2,0.8083067092651757,0.8434504792332268,0.9201277955271565
3,0.8205128205128205,0.8333333333333334,0.9134615384615384
4,0.8370607028753994,0.865814696485623,0.8817891373801917
5,0.8525641025641025,0.8333333333333334,0.9038461538461539
6,0.805111821086262,0.8626198083067093,0.8753993610223643
7,0.8974358974358975,0.8525641025641025,0.8782051282051282
8,0.8338658146964856,0.8594249201277955,0.9041533546325878
9,0.9038461538461539,0.8173076923076923,0.9038461538461539
