,AL,Random,Batch
0,0.9444444444444444,0.8666666666666667,0.9666666666666667
1,0.8295454545454546,0.8522727272727273,0.9090909090909091
2,0.9222222222222223,0.9111111111111111,0.9666666666666667
3,0.8977272727272727,0.8181818181818182,0.9090909090909091
4,0.8555555555555555,0.9222222222222223,0.9555555555555556
5,0.8977272727272727,0.7045454545454546,0.9545454545454546
6,0.7333333333333333,0.9555555555555556,0.9666666666666667
7,0.7613636363636364,0.8295454545454546,0.8409090909090909
8,0.8444444444444444,0.9333333333333333,0.9444444444444444
9,0.8977272727272727,0.8409090909090909,0.9204545454545454
