,AL,Random,Batch
0,0.5892857142857143,0.6607142857142857,0.6964285714285714
1,0.5357142857142857,0.5535714285714286,0.5535714285714286
2,0.875,0.23214285714285715,0.5892857142857143
3,0.5178571428571429,0.5357142857142857,0.6964285714285714
4,0.5714285714285714,0.75,0.6428571428571429
5,0.6071428571428571,0.5714285714285714,0.7142857142857143
6,0.5892857142857143,0.625,0.7321428571428571
7,0.5,0.5892857142857143,0.6607142857142857
8,0.6964285714285714,0.7321428571428571,0.6607142857142857
9,0.5714285714285714,0.5,0.625
10,0.6428571428571429,0.5357142857142857,0.5535714285714286
11,0.5714285714285714,0.5535714285714286,0.6607142857142857
12,0.625,0.7142857142857143,0.6428571428571429
13,0.5357142857142857,0.75,0.6607142857142857
14,0.5714285714285714,0.5892857142857143,0.7142857142857143
