,AL,Random,Batch
0,0.788235294117647,0.8,0.8941176470588236
1,0.8235294117647058,0.6588235294117647,0.9294117647058824
2,0.8235294117647058,0.8117647058823529,0.9529411764705882
3,0.6823529411764706,0.6823529411764706,0.9529411764705882
4,0.7176470588235294,0.8588235294117647,0.9529411764705882
5,0.7058823529411765,0.7647058823529411,0.9647058823529412
6,0.7058823529411765,0.7176470588235294,0.8941176470588236
7,0.8235294117647058,0.7529411764705882,0.8470588235294118
8,0.7176470588235294,0.6823529411764706,0.9176470588235294
9,0.8,0.7647058823529411,0.9411764705882353
10,0.8941176470588236,0.8352941176470589,0.9647058823529412
11,0.7529411764705882,0.8235294117647058,0.9411764705882353
12,0.7411764705882353,0.8941176470588236,0.9647058823529412
13,0.7411764705882353,0.5411764705882353,0.8941176470588236
14,0.6823529411764706,0.6941176470588235,0.9294117647058824
