,AL,Random,Batch
0,0.8402625820568927,0.8315098468271335,0.8424507658643327
1,0.8030634573304157,0.8293216630196937,0.8205689277899344
2,0.8205689277899344,0.787746170678337,0.8161925601750547
3,0.8293216630196937,0.838074398249453,0.8315098468271335
4,0.7943107221006565,0.8052516411378556,0.8293216630196937
5,0.8161925601750547,0.8183807439824945,0.8336980306345733
6,0.8293216630196937,0.8096280087527352,0.8293216630196937
7,0.7636761487964989,0.7614879649890591,0.8030634573304157
8,0.8293216630196937,0.7680525164113785,0.8183807439824945
9,0.7964989059080962,0.8271334792122538,0.8402625820568927
10,0.8074398249452954,0.8096280087527352,0.8271334792122538
11,0.8555798687089715,0.862144420131291,0.8161925601750547
12,0.8183807439824945,0.8315098468271335,0.8446389496717724
13,0.7986870897155361,0.8161925601750547,0.8140043763676149
14,0.8315098468271335,0.8315098468271335,0.824945295404814
